country.value,date,value,gender
Kenya,2018,88.38527679,All
Kenya,2017,75.85467529,All
Kenya,2016,72.51428223,All
Kenya,2015,69.77667999,All
Kenya,2014,71.83386993,All
Kenya,2013,66.80593872,All
Kenya,2012,63.82013702,All
Kenya,2011,56.46788025,All
Kenya,2010,58.21165848,All
Kenya,2009,54.56043243,All
Kenya,2008,54.57352448,All
Kenya,2007,49.51648712,All
Kenya,2006,40.28915024,All
Kenya,2005,30.47352028,All
Kenya,2004,27.09413719,All
Kenya,2003,25.03597069,All
Kenya,2002,21.68992996,All
Kenya,2001,21.25755501,All
Kenya,2000,20.51720238,All
Tanzania,2018,36.82281494,All
Tanzania,2017,35.4696846,All
Tanzania,2016,37.18800735,All
Tanzania,2015,33.58756638,All
Tanzania,2014,40.15260315,All
Tanzania,2013,43.77843857,All
Tanzania,2012,42.28381729,All
Tanzania,2011,38.04220581,All
Tanzania,2010,37.53247833,All
Tanzania,2009,34.07072067,All
Tanzania,2008,36.88764572,All
Tanzania,2007,36.90998459,All
Tanzania,2006,36.27006531,All
Tanzania,2005,28.24069595,All
Tanzania,2004,23.90641594,All
Tanzania,2003,20.81579018,All
Tanzania,2002,17.41364098,All
Tanzania,2001,15.53204632,All
Tanzania,2000,12.6108675,All
Uganda,2018,43.13787842,All
Uganda,2017,41.95800781,All
Uganda,2016,42.19992828,All
Uganda,2015,43.72704315,All
Uganda,2014,52.90937424,All
Uganda,2013,52.21765137,All
Uganda,2012,55.96831131,All
Uganda,2011,56.27164841,All
Uganda,2010,65.54209137,All
Uganda,2009,57.60364151,All
Uganda,2008,59.04119873,All
Uganda,2007,53.47136688,All
Uganda,2006,44.78743744,All
Uganda,2005,39.42023468,All
Uganda,2004,31.77279472,All
Uganda,2003,22.38943672,All
Uganda,2002,22.57953644,All
Uganda,2001,20.65848732,All
Uganda,2000,19.10987282,All
